City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
298,Hobyo,SO,77.61,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
308,Beroroha,MG,77.59,overcast clouds,-21.6667,45.1667,
309,Geraldton,AU,75.2,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
313,Muswellbrook,AU,79.23,few clouds,-32.2667,150.9,Wayfarer Motel
315,Pandan,PH,79.68,overcast clouds,14.0453,124.1694,Bonifacio Lodge
325,Biak,ID,84.4,overcast clouds,-0.9131,122.8766,Penginapan Kim
340,Boa Vista,BR,80.6,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
351,Carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
352,Quatre Cocos,MU,82.99,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
364,Malayal,PH,87.8,broken clouds,7.207999999999999,121.94200000000001,
370,Palimbang,PH,84.33,overcast clouds,6.2106,124.1894,Felmar Beach resort
371,Oranjestad,AW,78.8,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
372,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
375,Simbahan,PH,81.97,overcast clouds,6.3032,120.5836,
377,Aden,YE,75.33,broken clouds,12.7794,45.0367,Sama Emirate Hotel
378,Sibolga,ID,87.46,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
388,Bac Lieu,VN,84.27,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
390,Cayenne,GF,78.8,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
396,Nelson Bay,AU,75.99,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
397,San-Pedro,CI,77.36,scattered clouds,4.7485,-6.6363,Hotel Maria
402,Japura,ID,88.14,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
409,Popondetta,PG,83.5,overcast clouds,-8.7537,148.2534,Timos Transit House
410,Curuca,BR,75.18,few clouds,-0.7289,-47.8481,Hotel Curuça
411,Port Macquarie,AU,80.01,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
413,Bima,ID,86.29,overcast clouds,-8.4667,118.7167,Lambitu Hotel
424,Tsevie,TG,84.2,few clouds,6.4261,1.2133,Hotel Melissa
428,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
430,Dawei,MM,87.93,clear sky,14.0833,98.2,Hotel Dawei
431,Gisborne,NZ,75.0,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
433,Kirakira,SB,84.65,few clouds,-10.4544,161.9205,SanBiz Lodge
435,Cabinda,AO,79.41,moderate rain,-5.55,12.2,"Hotel Executivo , 3 estrelas"
443,Muisne,EC,77.34,light rain,0.6,-80.0333,Quinta Samay
444,Namatanai,PG,84.45,light rain,-3.6667,152.4333,Namatanai Hotel
452,Port Hedland,AU,89.6,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
454,Sumbe,AO,76.39,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
459,Yarada,IN,77.0,haze,17.65,83.2667,Jeevan
460,Ejura,GH,76.5,broken clouds,7.3856,-1.3562,Fire Servece
462,Porto Velho,BR,77.0,heavy intensity rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
467,Padang,ID,87.8,few clouds,-0.9492,100.3543,Mercure Padang
471,Tulum,MX,77.0,clear sky,20.2167,-87.4667,Kin Ha Tulum
475,San Policarpo,PH,79.5,moderate rain,12.1791,125.5072,JM Lodge
478,Road Town,VG,78.01,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
481,Tautira,PF,87.8,scattered clouds,-17.7333,-149.15,Pension Oaoa
486,Swedru,GH,77.27,broken clouds,5.5371,-0.6998,Emma-Ike Guesthouse
489,Martapura,ID,87.8,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
497,Payo,ID,84.97,broken clouds,-3.7508,103.6372,Mess keban agung
504,Ewa Beach,US,77.0,clear sky,21.3156,-158.0072,Base Lodging
505,Pizarro,CO,78.17,moderate rain,4.9533,-77.366,Hotel Limonar
508,Thinadhoo,MV,81.52,few clouds,0.5333,72.9333,
509,Cockburn Town,TC,77.92,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
510,Ocos,GT,75.2,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
511,Waingapu,ID,85.21,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
512,Innisfail,AU,86.02,overcast clouds,-17.5333,146.0333,Moondarra Motel
514,Puerto Escondido,MX,80.6,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
516,Galesong,ID,84.2,few clouds,-5.3166,119.3661,Sapriadi Appy
520,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
524,Roebourne,AU,87.6,clear sky,-20.7833,117.1333,Harding River Caravan Park
526,San Fernando,PH,86.0,broken clouds,15.0286,120.6898,Maharlika Hostel
528,Kudahuvadhoo,MV,81.41,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
531,Bandarbeyla,SO,76.41,overcast clouds,9.4942,50.8122,JABIR HOTEL
