City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hermanus,ZA,-34.4187,19.2345,55.0,94,31,3.6,scattered clouds
80,Aykhal,RU,66.0,111.5,-22.65,84,81,5.32,broken clouds
81,Sarangani,PH,5.4033,125.4636,82.09,75,100,4.97,overcast clouds
82,Saint George,US,37.1041,-113.5841,53.01,25,1,3.44,clear sky
83,Narsaq,GL,60.9167,-46.05,39.2,28,20,39.12,few clouds
84,Fortuna,US,40.5982,-124.1573,43.0,93,90,5.3,overcast clouds
85,San Patricio,US,28.017,-97.5169,63.0,82,20,8.05,few clouds
86,Pisco,PE,-13.7,-76.2167,73.4,78,20,5.75,few clouds
87,Khorramabad,IR,33.4878,48.3558,35.6,93,20,1.59,few clouds
88,Along,IN,28.1667,94.7667,69.26,26,0,0.63,clear sky
89,Cidreira,BR,-30.1811,-50.2056,70.05,74,0,7.63,clear sky
90,Saint-Philippe,RE,-21.3585,55.7679,84.2,58,75,6.91,broken clouds
91,Takoradi,GH,4.8845,-1.7554,79.21,87,68,9.24,broken clouds
92,Marsh Harbour,BS,26.5412,-77.0636,75.22,88,85,10.96,overcast clouds
93,Punta Arenas,CL,-53.15,-70.9167,60.8,44,75,12.66,broken clouds
94,Bubaque,GW,11.2833,-15.8333,78.48,56,1,13.35,clear sky
95,Pitimbu,BR,-7.4706,-34.8086,80.6,83,40,5.75,scattered clouds
96,Bucak,TR,37.4592,30.595,60.01,93,0,3.44,clear sky
97,Beloha,MG,-25.1667,45.05,78.49,84,19,4.54,few clouds
98,Kruisfontein,ZA,-34.0033,24.7314,61.0,86,74,8.12,broken clouds
99,Vestmanna,FO,62.1564,-7.1664,35.6,55,40,19.57,scattered clouds
100,Kedrovyy,RU,56.1667,91.8167,28.4,74,40,4.47,scattered clouds
101,Margate,GB,51.3813,1.3862,32.0,77,100,7.0,light snow
102,Bowen,AU,-20.0167,148.2333,91.4,62,40,6.91,scattered clouds
103,Georgetown,MY,5.4112,100.3354,87.8,62,20,6.91,few clouds
104,Puerto Ayora,EC,-0.7393,-90.3518,77.0,95,100,5.59,overcast clouds
105,Tura,IN,25.5198,90.2201,75.09,28,0,4.14,clear sky
106,East London,ZA,-33.0153,27.9116,66.2,100,90,10.36,overcast clouds
107,Rosario,AR,-32.9468,-60.6393,71.6,78,0,2.3,clear sky
108,Codrington,AU,-38.2667,141.9667,63.25,62,100,16.91,overcast clouds
109,Tias,ES,28.9611,-13.645,60.8,72,90,2.3,overcast clouds
110,Qaanaaq,GL,77.484,-69.3632,16.84,86,100,6.31,overcast clouds
111,Ilulissat,GL,69.2167,-51.1,21.2,38,0,25.32,light snow
112,Beberibe,BR,-4.1797,-38.1306,80.6,83,40,6.91,scattered clouds
113,Rethimnon,GR,35.3647,24.4714,66.99,63,40,16.11,scattered clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,40,9.22,scattered clouds
115,Charters Towers,AU,-20.1,146.2667,91.92,49,100,9.13,overcast clouds
116,Half Moon Bay,US,37.4636,-122.4286,57.2,87,1,3.44,clear sky
117,Bonavista,CA,48.6499,-53.1147,28.99,74,51,2.3,broken clouds
118,Krasnovishersk,RU,60.4078,57.082,-21.46,85,100,6.11,light snow
119,Paramonga,PE,-10.6667,-77.8333,70.54,81,100,5.59,overcast clouds
120,Vanimo,PG,-2.6741,141.3028,84.9,66,100,4.09,overcast clouds
121,Beringovskiy,RU,63.05,179.3167,6.1,95,100,16.49,snow
122,Trujillo,PE,-8.116,-79.03,71.78,74,91,4.72,overcast clouds
123,Flinders,AU,-34.5833,150.8552,73.0,72,52,4.0,broken clouds
124,Marienburg,PL,54.0359,19.0266,7.0,100,78,14.9,broken clouds
125,Atuona,PF,-9.8,-139.0333,79.52,77,14,19.33,few clouds
126,Yellowknife,CA,62.456,-114.3525,-33.0,67,40,8.05,scattered clouds
127,Asau,RO,46.4333,26.4,30.0,71,76,2.1,broken clouds
128,Mount Isa,AU,-20.7333,139.5,89.6,55,90,10.36,overcast clouds
129,Beni Mazar,EG,28.4962,30.8029,55.04,42,0,6.06,clear sky
130,Batagay-Alyta,RU,67.8006,130.4114,-22.76,77,16,1.92,few clouds
131,Mayo,US,38.8876,-76.5119,32.0,47,1,14.97,clear sky
132,Port Alfred,ZA,-33.5906,26.891,64.0,88,96,4.0,overcast clouds
133,Bara,NG,10.3744,10.7288,63.23,29,86,4.7,overcast clouds
134,La Asuncion,VE,11.0333,-63.8628,76.21,84,24,16.64,few clouds
135,Pangnirtung,CA,66.1451,-65.7125,21.15,77,0,7.09,clear sky
136,Barsuki,RU,54.2655,37.4875,-5.12,92,54,5.79,broken clouds
137,Saint-Augustin,CA,51.226,-58.6502,14.05,92,16,9.91,few clouds
138,Iberia,US,29.9502,-91.7507,50.0,93,1,4.61,clear sky
139,Oistins,BB,13.0667,-59.5333,77.0,65,40,17.27,scattered clouds
140,Hobart,AU,-42.8794,147.3294,66.2,42,75,18.41,broken clouds
