City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Rikitea,PF,2021-02-07 20:20:12,-23.1203,-134.9692,77.23,73,96,12.59
67,Tuatapere,NZ,2021-02-07 20:20:12,-46.1333,167.6833,59.99,70,100,6.62
68,Goose Creek,US,2021-02-07 20:20:12,32.981,-80.0326,51.01,71,75,18.41
69,Cape Town,ZA,2021-02-07 20:19:19,-33.9258,18.4232,68.0,63,0,18.41
70,Chapais,CA,2021-02-07 20:20:12,49.7834,-74.8492,15.8,79,90,8.05
71,Thinadhoo,MV,2021-02-07 20:20:12,0.5333,72.9333,81.84,73,48,9.06
72,Hithadhoo,MV,2021-02-07 20:20:13,-0.6,73.0833,82.06,70,91,8.14
73,Igrim,RU,2021-02-07 20:20:13,63.1906,64.4162,-3.6,92,100,10.49
74,Vao,NC,2021-02-07 20:19:31,-22.6667,167.4833,77.02,84,69,0.6
75,Dikson,RU,2021-02-07 20:20:13,73.5069,80.5464,-32.01,85,90,14.45
76,Kodinsk,RU,2021-02-07 20:20:13,58.6881,99.1844,19.33,96,65,4.63
77,Kamenka,RU,2021-02-07 20:20:13,51.3223,42.7678,-6.5,91,17,9.86
78,Salalah,OM,2021-02-07 20:18:25,17.0151,54.0924,73.4,68,75,3.44
79,Corinto,GR,2021-02-07 20:20:13,37.9407,22.9573,57.0,52,87,3.78
80,Roald,NO,2021-02-07 20:17:28,62.5833,6.1333,24.8,42,0,12.66
81,Carnarvon,AU,2021-02-07 20:20:13,-24.8667,113.6333,75.2,100,40,6.91
82,Tasiilaq,GL,2021-02-07 20:20:13,65.6145,-37.6368,24.8,54,0,16.11
83,Orichi,RU,2021-02-07 20:20:14,58.4036,49.0572,-17.75,86,100,9.22
84,Butaritari,KI,2021-02-07 20:17:55,3.0707,172.7902,80.92,80,100,20.85
85,Hereford,GB,2021-02-07 20:18:17,52.0568,-2.7148,34.0,76,95,12.97
86,Portland,US,2021-02-07 20:18:05,45.5234,-122.6762,48.0,71,90,8.05
87,Turkan,AZ,2021-02-07 20:20:14,40.3639,50.215,42.8,87,75,18.41
